date,open,high,low,close,volume,
2018/10/11,20770,21060,20290,20560,18870037,20560
2018/10/12,20400,20810,20230,20800,12426338,20800
2018/10/15,20410,20430,19950,19970,11804528,19970
2018/10/16,19990,20440,19950,20440,10178160,20440
2018/10/17,20980,21160,20820,20940,9169516,20940
2018/10/18,20990,21020,20590,20610,6836045,20610
2018/10/19,20000,20420,19820,20390,11398584,20390
2018/10/22,20120,20640,19920,20550,9025511,20550
2018/10/23,20170,20180,19410,19440,13631479,19440
2018/10/24,19750,19800,19270,19600,11691499,19600
2018/10/25,18400,18550,17990,18100,15378001,18100
2018/10/26,18460,18480,17590,17970,15337112,17970
2018/10/29,18210,18450,17840,17910,10278615,17910
2018/10/30,17690,18610,17670,18420,11172041,18420
2018/10/31,18760,19200,18610,19170,8850173,19170
2018/11/1,19010,19130,18700,18790,8290918,18790
2018/11/2,19010,19870,18990,19760,13723813,19760
2018/11/5,19210,19430,19100,19120,7337984,19120
2018/11/6,19410,19600,19320,19570,4992998,19570
2018/11/7,19630,20100,19300,19500,14705554,19500
2018/11/8,20230,20350,20120,20160,9479185,20160
2018/11/9,20110,20190,19720,19770,7014784,19770
2018/11/12,19510,19890,19390,19790,5639199,19790
2018/11/13,18800,19000,18380,18980,12651734,18980
2018/11/14,19040,19280,18880,19030,7003763,19030
2018/11/15,18700,19000,18640,18960,6694031,18960
2018/11/16,19000,19090,18710,18760,6370985,18760
2018/11/19,18720,19050,18720,18990,4373098,18990
2018/11/20,18500,18760,18490,18570,5576489,18570
2018/11/21,18000,18530,17970,18470,7504409,18470
2018/11/22,18590,18750,18400,18710,6002838,18710
2018/11/26,18720,19000,18660,18990,5273284,18990
2018/11/27,19260,19300,18970,19240,5837559,19240
2018/11/28,19420,19660,19360,19630,6037634,19630
2018/11/29,19950,20060,19710,19720,6541171,19720
2018/11/30,19790,19930,19700,19930,4868948,19930
2018/12/3,20370,20520,20240,20320,8840903,20320
2018/12/4,20250,20310,19320,19360,10223168,19360
2018/12/5,18790,19240,18760,19110,10224223,19110
2018/12/6,18890,18930,18040,18400,12824572,18400
2018/12/7,18610,18790,18390,18690,7663988,18690
2018/12/10,18000,18070,17820,17920,7729622,17920
2018/12/11,18000,18040,17640,17790,8252238,17790
2018/12/12,18140,18590,18060,18570,7407795,18570
2018/12/13,18800,19000,18670,18890,6481682,18890
2018/12/14,18680,18800,18090,18140,9554278,18140
2018/12/17,18160,18460,18120,18380,4499098,18380
2018/12/18,17860,18070,17670,17720,8768017,17720
2018/12/19,17660,17800,17300,17500,10448149,17500
2018/12/20,17100,17240,16280,16450,14643293,16450
2018/12/21,16320,16390,15850,16130,10511224,16130
2018/12/25,14930,14990,14430,14480,12123309,14480
2018/12/26,14940,15130,14230,14800,11852077,14800
2018/12/27,15980,16170,15600,15930,15221658,15930
2018/12/28,15800,15970,15660,15820,10406652,15820
