Date,Open,High,Low,Close,Adj Close,Volume
2006/8/2,15341.53027,15466.07031,15287.80957,15464.29004,15464.29004,95600
2006/8/3,15527.26953,15580.91016,15441.66992,15470.37012,15470.37012,87000
2006/8/4,15502.55957,15555.90039,15435.33008,15499.17969,15499.17969,89100
2006/8/7,15494.46973,15516.24023,15154.05957,15154.05957,15154.05957,90000
2006/8/8,15234.38965,15476.94043,15189.09961,15464.66016,15464.66016,89200
2006/8/9,15417.01953,15659.41016,15240.29981,15656.58984,15656.58984,111500
2006/8/10,15585.08984,15690.86035,15536.15039,15630.91016,15630.91016,105900
2006/8/11,15622.24023,15681.40039,15555.59961,15565.01953,15565.01953,113500
2006/8/14,15550.95996,15873.20996,15549.66992,15857.11035,15857.11035,82800
2006/8/15,15831.69043,15913.33984,15807.71973,15816.19043,15816.19043,98500
2006/8/16,15970.59961,16085.07031,15962.98047,16071.36035,16071.36035,113500
2006/8/17,16142.55957,16204.59961,16008.44043,16020.83984,16020.83984,154600
2006/8/18,16052.58008,16169.83984,16022.12012,16105.98047,16105.98047,122500
2006/8/21,16104.5,16145.5,15936.61035,15969.04004,15969.04004,91900
2006/8/22,15994.99023,16244.83984,15994.99023,16181.16992,16181.16992,100300
2006/8/23,16161.82031,16226.58984,16118.12012,16163.03027,16163.03027,92600
2006/8/24,16088.54004,16089.12988,15910.62012,15960.62012,15960.62012,86800
2006/8/25,15955.75977,16156.78027,15874.62988,15938.66016,15938.66016,87000
2006/8/28,15953.08008,16005.08984,15745.00977,15762.58984,15762.58984,88000
2006/8/29,15881.91992,15946.41992,15811.73047,15890.55957,15890.55957,77400
2006/8/30,15929.90039,15962.92969,15769.16016,15872.01953,15872.01953,95500
2006/8/31,15884.61035,16207.41016,15882.25977,16140.75977,16140.75977,112200
2006/9/1,16072.80957,16158.48047,16029.55957,16134.25,16134.25,100200
2006/9/4,16280.17969,16414.93945,16280.17969,16358.07031,16358.07031,109100
2006/9/5,16357.29004,16403.90039,16280.67969,16385.96094,16385.96094,109300
2006/9/6,16350.26953,16400.71094,16245.16016,16284.08984,16284.08984,126000
2006/9/7,16141.94043,16141.94043,15944.03027,16012.41016,16012.41016,115600
2006/9/8,15907.96973,16156.17969,15831.75,16080.45996,16080.45996,163100
2006/9/11,16053.12988,16053.12988,15772.07031,15794.37988,15794.37988,97800
2006/9/12,15843.79981,15882.37988,15675.37012,15719.33984,15719.33984,117000
2006/9/13,15889.5,15965.30957,15730.66992,15750.04981,15750.04981,108600
2006/9/14,15831.71973,15994.79004,15801.87988,15942.38965,15942.38965,101900
2006/9/15,15872.29004,15907.03027,15763.90039,15866.92969,15866.92969,85500
2006/9/19,15948.46973,16096.17969,15867.04981,15874.28027,15874.28027,96600
2006/9/20,15757.96973,15763.66992,15622.28027,15718.66992,15718.66992,103000
2006/9/21,15820.11035,15859.20996,15674.83984,15834.23047,15834.23047,93400
2006/9/22,15706.84961,15735.25977,15580.19043,15634.66992,15634.66992,92900
2006/9/25,15550.55957,15691.05957,15513.87012,15633.80957,15633.80957,98200
2006/9/26,15594.48047,15666.9502,15517.90039,15557.4502,15557.4502,76500
2006/9/27,15692.98047,15947.87012,15681.44043,15947.87012,15947.87012,97500
2006/9/28,15970.38965,16032.98047,15911.21973,16024.84961,16024.84961,86900
2006/9/29,16097.08008,16127.58008,16007.37012,16127.58008,16127.58008,83400
2006/10/2,16169,16329.24023,16157.98047,16254.29004,16254.29004,102600
2006/10/3,16198.54981,16260.46973,16148.88965,16242.08984,16242.08984,90900
2006/10/4,16288.91992,16363.12012,16028.32031,16082.54981,16082.54981,124900
2006/10/5,16291.79004,16481.31055,16286.63965,16449.33008,16449.33008,125800
2006/10/6,16444.71094,16457.91992,16360.63965,16436.06055,16436.06055,96800
2006/10/10,16325.48047,16620.15039,16325.48047,16477.25,16477.25,104500
2006/10/11,16497.26953,16595.91016,16399.74023,16400.57031,16400.57031,115500
2006/10/12,16386.36914,16495.53906,16343.49023,16368.80957,16368.80957,106500
2006/10/13,16494.49023,16586.33008,16493.64063,16536.53906,16536.53906,121600
2006/10/16,16663.2207,16732.43945,16648.42969,16692.75977,16692.75977,90100
2006/10/17,16704.85938,16704.85938,16561.25977,16611.58984,16611.58984,93600
2006/10/18,16519.91016,16666.19922,16466.74023,16653,16653,93500
2006/10/19,16673.25977,16688.96094,16506.2207,16551.35938,16551.35938,86400
2006/10/20,16556.08984,16663.60938,16552.35938,16651.63086,16651.63086,86500
2006/10/23,16641.32031,16797.71094,16598.5293,16788.82031,16788.82031,92300
2006/10/24,16853.73047,16901.5293,16759.98047,16780.4707,16780.4707,111400
2006/10/25,16837.80078,16849.05078,16697.00977,16699.30078,16699.30078,114600
2006/10/26,16794.41016,16863.24023,16772.31055,16811.59961,16811.59961,114500
2006/10/27,16879.33008,16879.33008,16643.91016,16669.07031,16669.07031,111800
2006/10/30,16544.5,16549.71094,16329.88965,16351.84961,16351.84961,119000
2006/10/31,16389.44922,16477.06055,16314.29004,16399.39063,16399.39063,104400
2006/11/1,16338.71973,16444.50977,16246.24023,16375.25977,16375.25977,103800
2006/11/2,16281.9502,16350.01953,16209.13965,16350.01953,16350.01953,99000
2006/11/6,16278.78027,16398.50977,16204.12988,16364.75977,16364.75977,104200
2006/11/7,16509.78906,16512.50977,16378.71973,16393.41016,16393.41016,95800
2006/11/8,16404.05078,16423.83008,16199.42969,16215.74023,16215.74023,121600
2006/11/9,16218.86035,16286.25977,16094.49023,16198.57031,16198.57031,109400
2006/11/10,16133.91016,16280.66016,16104.74023,16112.42969,16112.42969,130100
2006/11/13,16016.41992,16067.45996,15913.86035,16022.49023,16022.49023,107600
2006/11/14,16178.80957,16318.04981,16176.01953,16289.54981,16289.54981,112900
2006/11/15,16348.74023,16373.48047,16243.46973,16243.46973,16243.46973,103300
2006/11/16,16292.48047,16367.09961,16143.7002,16163.87012,16163.87012,94400
2006/11/17,16182.30957,16238.25977,16067.26953,16091.73047,16091.73047,107100
2006/11/20,16004.33984,16036.17969,15725.94043,15725.94043,15725.94043,116300
2006/11/21,15766.42969,15817.73047,15696.21973,15734.13965,15734.13965,100100
2006/11/22,15680.53027,15914.23047,15675.48047,15914.23047,15914.23047,104200
2006/11/24,15784.25977,15789.88965,15639.19043,15734.59961,15734.59961,90600
2006/11/27,15615.55957,15912.11035,15615.55957,15885.37988,15885.37988,94800
2006/11/28,15711.71973,15855.25977,15653.69043,15855.25977,15855.25977,114100
2006/11/29,15948.69043,16126.34961,15945.07031,16076.2002,16076.2002,115200
2006/11/30,16183.29981,16274.33008,16152.84961,16274.33008,16274.33008,119100
2006/12/1,16313.01953,16376.29981,16242.00977,16321.78027,16321.78027,111800
2006/12/4,16263.98047,16362.04004,16185.91992,16303.58984,16303.58984,108600
2006/12/5,16370.55957,16400.14063,16239.28027,16265.75977,16265.75977,121400
2006/12/6,16309.79981,16401.31055,16254.4502,16371.28027,16371.28027,109800
2006/12/7,16461.91016,16550.73047,16416.30078,16473.35938,16473.35938,102200
2006/12/8,16429.80078,16493,16387.80078,16417.82031,16417.82031,175700
2006/12/11,16487.30078,16608.9707,16470.40039,16527.99023,16527.99023,115000
2006/12/12,16621.68945,16682.65039,16583.7793,16637.7793,16637.7793,121100
2006/12/13,16609.25,16692.92969,16589.73047,16692.92969,16692.92969,105500
2006/12/14,16714.33984,16829.19922,16714.33984,16829.19922,16829.19922,94600
2006/12/15,16927.93945,16959.91016,16858.34961,16914.31055,16914.31055,106200
2006/12/18,16962.65039,16993.88086,16930.55078,16962.10938,16962.10938,107500
2006/12/19,16883.85938,16954.83008,16754.21094,16776.88086,16776.88086,113000
2006/12/20,16829.58008,17050.73047,16829.58008,17011.03906,17011.03906,133300
